2010/06/25 08:57:11 INFO  - jmeter.util.JMeterUtils: Setting Locale to en_US 
2010/06/25 08:57:12 INFO  - jmeter.JMeter: Loading user properties from: /Users/brian/Projects/jmeter-testing/jmeter/bin/user.properties 
2010/06/25 08:57:12 INFO  - jmeter.JMeter: Loading system properties from: /Users/brian/Projects/jmeter-testing/jmeter/bin/system.properties 
2010/06/25 08:57:12 INFO  - jmeter.JMeter: Copyright (c) 1998-2009 The Apache Software Foundation 
2010/06/25 08:57:12 INFO  - jmeter.JMeter: Version 2.3.4 r785646 
2010/06/25 08:57:12 INFO  - jmeter.JMeter: java.version=1.6.0_20 
2010/06/25 08:57:12 INFO  - jmeter.JMeter: java.vm.name=Java HotSpot(TM) 64-Bit Server VM 
2010/06/25 08:57:12 INFO  - jmeter.JMeter: os.name=Mac OS X 
2010/06/25 08:57:12 INFO  - jmeter.JMeter: os.arch=x86_64 
2010/06/25 08:57:12 INFO  - jmeter.JMeter: os.version=10.6.4 
2010/06/25 08:57:12 INFO  - jmeter.JMeter: file.encoding=MacRoman 
2010/06/25 08:57:12 INFO  - jmeter.JMeter: Default Locale=English (United States) 
2010/06/25 08:57:12 INFO  - jmeter.JMeter: JMeter  Locale=English (United States) 
2010/06/25 08:57:12 INFO  - jmeter.JMeter: JMeterHome=/Users/brian/Projects/jmeter-testing/jmeter 
2010/06/25 08:57:12 INFO  - jmeter.JMeter: user.dir  =/Users/brian/Projects/jmeter-testing/jmeter/bin 
2010/06/25 08:57:12 INFO  - jmeter.JMeter: PWD       =/Users/brian/Projects/jmeter-testing/jmeter/bin 
2010/06/25 08:57:12 INFO  - jmeter.JMeter: IP: 10.0.1.20 Name: MacBookPro.local FullName: 10.0.1.20 
2010/06/25 08:57:12 INFO  - jmeter.JMeter: Loaded icon properties from org/apache/jmeter/images/icon.properties 
2010/06/25 08:57:13 INFO  - jmeter.engine.util.CompoundVariable: Note: Function class names must contain the string: '.functions.' 
2010/06/25 08:57:13 INFO  - jmeter.engine.util.CompoundVariable: Note: Function class names must not contain the string: '.gui.' 
2010/06/25 08:57:14 INFO  - jmeter.util.BSFTestElement: Registering JMeter version of JavaScript engine as work-round for BSF-22 
2010/06/25 08:57:14 INFO  - jmeter.protocol.http.sampler.HTTPSamplerBase: Cannot find .className property for htmlParser, using default 
2010/06/25 08:57:14 INFO  - jmeter.protocol.http.sampler.HTTPSamplerBase: Parser for text/html is  
2010/06/25 08:57:14 INFO  - jmeter.protocol.http.sampler.HTTPSamplerBase: Parser for application/xhtml+xml is  
2010/06/25 08:57:14 INFO  - jmeter.protocol.http.sampler.HTTPSamplerBase: Parser for application/xml is  
2010/06/25 08:57:14 INFO  - jmeter.protocol.http.sampler.HTTPSamplerBase: Parser for text/xml is  
2010/06/25 08:57:14 INFO  - jmeter.protocol.http.sampler.HTTPSamplerBase: Parser for text/vnd.wap.wml is org.apache.jmeter.protocol.http.parser.RegexpHTMLParser 
2010/06/25 08:57:14 INFO  - jmeter.gui.util.MenuFactory: Skipping org.apache.jmeter.protocol.http.modifier.gui.ParamModifierGui 
